machine_id,shift_date,shift,planned_time_mins,actual_run_time_mins,good_units,total_units,downtime_mins,downtime_reason,availability,quality,oee
M07,2025-01-03,Night,480,357,439,586,123,Mechanical Failure,0.7438,0.7491,0.5572
M08,2025-01-03,Day,480,415,694,802,65,Changeover,0.8646,0.8653,0.7481
M08,2025-01-03,Night,480,450,631,800,30,Mechanical Failure,0.9375,0.7887,0.7394
M01,2025-01-04,Day,480,392,761,769,88,Mechanical Failure,0.8167,0.9896,0.8082
M01,2025-01-04,Night,480,343,624,631,137,Electrical Fault,0.7146,0.9889,0.7067
M02,2025-01-04,Day,480,444,878,976,36,Quality Check Hold,0.925,0.8996,0.8321
M02,2025-01-04,Night,480,405,659,807,75,Electrical Fault,0.8438,0.8166,0.689
M03,2025-01-04,Day,480,355,672,685,125,Material Shortage,0.7396,0.981,0.7255
M03,2025-01-04,Night,480,380,658,805,100,Planned Maintenance,0.7917,0.8174,0.6471
M04,2025-01-04,Day,480,401,761,858,79,Planned Maintenance,0.8354,0.8869,0.7409
M04,2025-01-04,Night,480,408,601,795,72,Changeover,0.85,0.756,0.6426
M05,2025-01-04,Day,480,452,829,916,28,Mechanical Failure,0.9417,0.905,0.8522
M05,2025-01-04,Night,480,462,838,1118,18,Mechanical Failure,0.9625,0.7496,0.7215
M06,2025-01-04,Day,480,443,630,840,37,None,0.9229,0.75,0.6922
M06,2025-01-04,Night,480,359,580,747,121,Operator Break,0.7479,0.7764,0.5807
M07,2025-01-04,Day,480,443,732,976,37,Material Shortage,0.9229,0.75,0.6922
M07,2025-01-04,Night,480,348,539,711,132,Changeover,0.725,0.7581,0.5496
M08,2025-01-04,Day,480,457,698,851,23,Quality Check Hold,0.9521,0.8202,0.7809
M08,2025-01-04,Night,480,356,635,703,124,None,0.7417,0.9033,0.67
M01,2025-01-05,Day,480,462,794,925,18,Quality Check Hold,0.9625,0.8584,0.8262
M01,2025-01-05,Night,480,464,824,1071,16,Mechanical Failure,0.9667,0.7694,0.7438
M02,2025-01-05,Day,480,428,787,890,52,Mechanical Failure,0.8917,0.8843,0.7885
M02,2025-01-05,Night,480,395,781,943,85,Planned Maintenance,0.8229,0.8282,0.6815
M03,2025-01-05,Day,480,454,835,986,26,Planned Maintenance,0.9458,0.8469,0.801
M03,2025-01-05,Night,480,423,709,927,57,Mechanical Failure,0.8812,0.7648,0.6739
M04,2025-01-05,Day,480,440,776,1035,40,Mechanical Failure,0.9167,0.7498,0.6873
M04,2025-01-05,Night,480,343,600,748,137,Changeover,0.7146,0.8021,0.5732
M05,2025-01-05,Day,480,444,848,1007,36,Electrical Fault,0.925,0.8421,0.7789
M05,2025-01-05,Night,480,363,687,761,117,Mechanical Failure,0.7562,0.9028,0.6827
M06,2025-01-05,Day,480,357,587,640,123,Changeover,0.7438,0.9172,0.6822
M06,2025-01-05,Night,480,418,632,843,62,Mechanical Failure,0.8708,0.7497,0.6528
M07,2025-01-05,Day,480,359,578,690,121,Mechanical Failure,0.7479,0.8377,0.6265
M07,2025-01-05,Night,480,422,598,798,58,Operator Break,0.8792,0.7494,0.6589
M08,2025-01-05,Day,480,430,872,967,50,Changeover,0.8958,0.9018,0.8078
M08,2025-01-05,Night,480,400,585,702,80,Mechanical Failure,0.8333,0.8333,0.6944
M01,2025-01-06,Day,480,418,765,821,62,Changeover,0.8708,0.9318,0.8114
M01,2025-01-06,Night,480,379,695,751,101,Mechanical Failure,0.7896,0.9254,0.7307
M02,2025-01-06,Day,480,412,822,896,68,Changeover,0.8583,0.9174,0.7874
M02,2025-01-06,Night,480,410,717,858,70,Material Shortage,0.8542,0.8357,0.7139
M03,2025-01-06,Day,480,455,761,932,25,Electrical Fault,0.9479,0.8165,0.774
M03,2025-01-06,Night,480,449,574,766,31,Material Shortage,0.9354,0.7493,0.7009
M04,2025-01-06,Day,480,374,564,669,106,Planned Maintenance,0.7792,0.843,0.6569
M04,2025-01-06,Night,480,447,632,843,33,Electrical Fault,0.9312,0.7497,0.6981
M05,2025-01-06,Day,480,385,919,939,95,None,0.8021,0.9787,0.785
M05,2025-01-06,Night,480,431,729,873,49,Material Shortage,0.8979,0.8351,0.7498
M06,2025-01-06,Day,480,358,745,853,122,Mechanical Failure,0.7458,0.8734,0.6514
M06,2025-01-06,Night,480,469,698,931,11,Mechanical Failure,0.9771,0.7497,0.7325
M07,2025-01-06,Day,480,394,529,689,86,Material Shortage,0.8208,0.7678,0.6302
M07,2025-01-06,Night,480,367,565,754,113,Planned Maintenance,0.7646,0.7493,0.5729
M08,2025-01-06,Day,480,369,783,799,111,Electrical Fault,0.7688,0.98,0.7534
M08,2025-01-06,Night,480,344,692,699,136,Planned Maintenance,0.7167,0.99,0.7095
M01,2025-01-07,Day,480,439,836,936,41,Electrical Fault,0.9146,0.8932,0.8169
M01,2025-01-07,Night,480,382,718,755,98,Material Shortage,0.7958,0.951,0.7568
M02,2025-01-07,Day,480,421,742,788,59,Mechanical Failure,0.8771,0.9416,0.8259
M03,2025-01-07,Day,480,377,597,631,103,Operator Break,0.7854,0.9461,0.7431
M03,2025-01-07,Night,480,468,731,975,12,Changeover,0.975,0.7497,0.731
M04,2025-01-07,Day,480,465,764,1019,15,Quality Check Hold,0.9688,0.7498,0.7264
M04,2025-01-07,Night,480,410,760,1014,70,Changeover,0.8542,0.7495,0.6402
M05,2025-01-07,Day,480,437,701,745,43,Planned Maintenance,0.9104,0.9409,0.8566
M05,2025-01-07,Night,480,468,820,1094,12,Material Shortage,0.975,0.7495,0.7308
M06,2025-01-07,Day,480,411,740,987,69,Quality Check Hold,0.8562,0.7497,0.6419
M06,2025-01-07,Night,480,343,595,757,137,Mechanical Failure,0.7146,0.786,0.5617
M07,2025-01-07,Day,480,435,552,736,45,Quality Check Hold,0.9062,0.75,0.6796
M07,2025-01-07,Night,480,337,556,692,143,Operator Break,0.7021,0.8035,0.5641
M08,2025-01-07,Day,480,426,907,954,54,Planned Maintenance,0.8875,0.9507,0.8437
M08,2025-01-07,Night,480,415,646,817,65,Material Shortage,0.8646,0.7907,0.6836
M01,2025-01-08,Day,480,382,876,903,98,Changeover,0.7958,0.9701,0.772
M01,2025-01-08,Night,480,354,826,857,126,Operator Break,0.7375,0.9638,0.7108
M02,2025-01-08,Day,480,459,653,814,21,Material Shortage,0.9562,0.8022,0.7671
M02,2025-01-08,Night,480,338,660,708,142,Material Shortage,0.7042,0.9322,0.6565
M03,2025-01-08,Day,480,437,757,864,43,Operator Break,0.9104,0.8762,0.7977
M03,2025-01-08,Night,480,458,763,1018,22,Operator Break,0.9542,0.7495,0.7152
M04,2025-01-08,Day,480,368,614,693,112,Planned Maintenance,0.7667,0.886,0.6793
M04,2025-01-08,Night,480,442,661,882,38,Quality Check Hold,0.9208,0.7494,0.69
M05,2025-01-08,Day,480,445,880,961,35,Electrical Fault,0.9271,0.9157,0.8489
M05,2025-01-08,Night,480,424,674,863,56,None,0.8833,0.781,0.6899
M06,2025-01-08,Day,480,350,593,625,130,Mechanical Failure,0.7292,0.9488,0.6919
M06,2025-01-08,Night,480,378,499,666,102,Mechanical Failure,0.7875,0.7492,0.59
M07,2025-01-08,Day,480,364,588,711,116,Planned Maintenance,0.7583,0.827,0.6271
M08,2025-01-08,Day,480,336,664,671,144,Operator Break,0.7,0.9896,0.6927
M08,2025-01-08,Night,480,449,656,840,31,Planned Maintenance,0.9354,0.781,0.7305
M01,2025-01-09,Day,480,367,805,814,113,Planned Maintenance,0.7646,0.9889,0.7561
M01,2025-01-09,Night,480,356,662,669,124,Mechanical Failure,0.7417,0.9895,0.7339
M02,2025-01-09,Night,480,351,579,661,129,Changeover,0.7312,0.8759,0.6405
M03,2025-01-09,Day,480,337,682,689,143,Electrical Fault,0.7021,0.9898,0.6949
M03,2025-01-09,Night,480,370,675,752,110,Electrical Fault,0.7708,0.8976,0.6919
M04,2025-01-09,Day,480,445,756,1008,35,Planned Maintenance,0.9271,0.75,0.6953
M04,2025-01-09,Night,480,379,497,645,101,Mechanical Failure,0.7896,0.7705,0.6084
M05,2025-01-09,Night,480,431,722,861,49,Changeover,0.8979,0.8386,0.753
M06,2025-01-09,Day,480,355,539,648,125,Changeover,0.7396,0.8318,0.6152
M06,2025-01-09,Night,480,338,531,681,142,None,0.7042,0.7797,0.5491
M07,2025-01-09,Day,480,408,555,735,72,Changeover,0.85,0.7551,0.6418
M07,2025-01-09,Night,480,425,554,739,55,Electrical Fault,0.8854,0.7497,0.6638
M08,2025-01-09,Day,480,370,752,760,110,Changeover,0.7708,0.9895,0.7627
M08,2025-01-09,Night,480,412,816,965,68,Quality Check Hold,0.8583,0.8456,0.7258
M01,2025-01-10,Day,480,443,695,840,37,Operator Break,0.9229,0.8274,0.7636
M01,2025-01-10,Night,480,428,774,971,52,Mechanical Failure,0.8917,0.7971,0.7108
M02,2025-01-10,Day,480,459,815,951,21,Planned Maintenance,0.9562,0.857,0.8195
M02,2025-01-10,Night,480,405,730,915,75,Changeover,0.8438,0.7978,0.6732
M03,2025-01-10,Day,480,457,735,980,23,Electrical Fault,0.9521,0.75,0.7141
M03,2025-01-10,Night,480,339,656,680,141,None,0.7062,0.9647,0.6813
M04,2025-01-10,Day,480,379,686,786,101,Changeover,0.7896,0.8728,0.6892
M04,2025-01-10,Night,480,399,607,773,81,Mechanical Failure,0.8312,0.7853,0.6527
M05,2025-01-10,Day,480,428,865,976,52,Planned Maintenance,0.8917,0.8863,0.7903
M05,2025-01-10,Night,480,454,646,809,26,Planned Maintenance,0.9458,0.7985,0.7552
M06,2025-01-10,Day,480,371,660,789,109,Mechanical Failure,0.7729,0.8365,0.6465
M06,2025-01-10,Night,480,351,537,687,129,Planned Maintenance,0.7312,0.7817,0.5716
M07,2025-01-10,Day,480,468,785,1047,12,None,0.975,0.7498,0.7311
M07,2025-01-10,Night,480,410,707,943,70,Mechanical Failure,0.8542,0.7497,0.6404
M08,2025-01-10,Day,480,370,839,849,110,Mechanical Failure,0.7708,0.9882,0.7617
M08,2025-01-10,Night,480,386,747,879,94,Material Shortage,0.8042,0.8498,0.6834
M01,2025-01-11,Day,480,352,602,609,128,Electrical Fault,0.7333,0.9885,0.7249
M01,2025-01-11,Night,480,392,633,750,88,Material Shortage,0.8167,0.844,0.6893
M02,2025-01-11,Day,480,382,690,697,98,Operator Break,0.7958,0.99,0.7878
M02,2025-01-11,Night,480,455,716,933,25,Quality Check Hold,0.9479,0.7674,0.7274
M03,2025-01-11,Day,480,394,678,740,86,Mechanical Failure,0.8208,0.9162,0.752
M03,2025-01-11,Night,480,358,606,644,122,Operator Break,0.7458,0.941,0.7018
M04,2025-01-11,Day,480,459,724,966,21,Planned Maintenance,0.9562,0.7495,0.7167
M04,2025-01-11,Night,480,361,685,834,119,None,0.7521,0.8213,0.6177
M05,2025-01-11,Day,480,460,649,788,20,Planned Maintenance,0.9583,0.8236,0.7893
M05,2025-01-11,Night,480,437,688,844,43,Quality Check Hold,0.9104,0.8152,0.7422
M06,2025-01-11,Day,480,336,574,607,144,None,0.7,0.9456,0.6619
M06,2025-01-11,Night,480,356,549,732,124,Changeover,0.7417,0.75,0.5563
M07,2025-01-11,Day,480,398,634,836,82,Changeover,0.8292,0.7584,0.6289
M07,2025-01-11,Night,480,360,583,778,120,Changeover,0.75,0.7494,0.562
M08,2025-01-11,Day,480,437,849,916,43,None,0.9104,0.9269,0.8438
M08,2025-01-11,Night,480,385,714,766,95,Changeover,0.8021,0.9321,0.7476
M01,2025-01-12,Day,480,458,828,963,22,Material Shortage,0.9542,0.8598,0.8204
M01,2025-01-12,Night,480,353,751,772,127,Mechanical Failure,0.7354,0.9728,0.7154
M02,2025-01-12,Day,480,380,807,878,100,Mechanical Failure,0.7917,0.9191,0.7277
M02,2025-01-12,Night,480,353,592,621,127,Planned Maintenance,0.7354,0.9533,0.7011
M03,2025-01-12,Day,480,363,818,827,117,Operator Break,0.7562,0.9891,0.748
M03,2025-01-12,Night,480,420,735,980,60,Planned Maintenance,0.875,0.75,0.6562
M04,2025-01-12,Day,480,390,659,820,90,Electrical Fault,0.8125,0.8037,0.653
M04,2025-01-12,Night,480,379,639,782,101,Operator Break,0.7896,0.8171,0.6452
M05,2025-01-12,Day,480,459,916,1094,21,Electrical Fault,0.9562,0.8373,0.8006
M05,2025-01-12,Night,480,438,710,857,42,Material Shortage,0.9125,0.8285,0.756
M06,2025-01-12,Day,480,371,582,713,109,Operator Break,0.7729,0.8163,0.6309
M06,2025-01-12,Night,480,359,575,715,121,Mechanical Failure,0.7479,0.8042,0.6015
M07,2025-01-12,Day,480,440,684,912,40,Mechanical Failure,0.9167,0.75,0.6875
M07,2025-01-12,Night,480,393,721,962,87,Changeover,0.8188,0.7495,0.6137
M08,2025-01-12,Day,480,442,851,1033,38,Planned Maintenance,0.9208,0.8238,0.7586
M08,2025-01-12,Night,480,360,734,747,120,Material Shortage,0.75,0.9826,0.737
M01,2025-01-13,Day,480,469,789,922,11,None,0.9771,0.8557,0.8361
M01,2025-01-13,Night,480,379,701,719,101,Material Shortage,0.7896,0.975,0.7699
M02,2025-01-13,Day,480,442,820,988,38,Electrical Fault,0.9208,0.83,0.7643
M02,2025-01-13,Night,480,444,756,984,36,Material Shortage,0.925,0.7683,0.7107
M03,2025-01-13,Day,480,357,568,597,123,Operator Break,0.7438,0.9514,0.7077
M04,2025-01-13,Day,480,341,734,742,139,Changeover,0.7104,0.9892,0.7027
M04,2025-01-13,Night,480,447,723,964,33,Operator Break,0.9312,0.75,0.6984
M05,2025-01-13,Day,480,371,770,778,109,Quality Check Hold,0.7729,0.9897,0.7649
M05,2025-01-13,Night,480,365,728,774,115,Planned Maintenance,0.7604,0.9406,0.7152
M06,2025-01-13,Day,480,360,618,747,120,Quality Check Hold,0.75,0.8273,0.6205
M06,2025-01-13,Night,480,396,714,953,84,Material Shortage,0.825,0.7492,0.6181
M07,2025-01-13,Day,480,366,546,713,114,Changeover,0.7625,0.7658,0.5839
M07,2025-01-13,Night,480,447,551,735,33,Changeover,0.9312,0.7497,0.6981
M08,2025-01-13,Day,480,371,840,849,109,Material Shortage,0.7729,0.9894,0.7647
M08,2025-01-13,Night,480,372,641,718,108,Operator Break,0.775,0.8928,0.6919
M01,2025-01-14,Day,480,336,778,786,144,Planned Maintenance,0.7,0.9898,0.6929
M01,2025-01-14,Night,480,399,811,887,81,Material Shortage,0.8312,0.9143,0.76
M02,2025-01-14,Day,480,362,635,642,118,Changeover,0.7542,0.9891,0.746
M02,2025-01-14,Night,480,360,730,806,120,Mechanical Failure,0.75,0.9057,0.6793
M03,2025-01-14,Day,480,384,691,787,96,Planned Maintenance,0.8,0.878,0.7024
M03,2025-01-14,Night,480,349,606,631,131,Mechanical Failure,0.7271,0.9604,0.6983
M04,2025-01-14,Day,480,437,763,947,43,Quality Check Hold,0.9104,0.8057,0.7335
M04,2025-01-14,Night,480,380,630,821,100,None,0.7917,0.7674,0.6076
M05,2025-01-14,Day,480,403,927,937,77,Material Shortage,0.8396,0.9893,0.8306
M05,2025-01-14,Night,480,353,614,621,127,Planned Maintenance,0.7354,0.9887,0.7271
M06,2025-01-14,Day,480,384,638,777,96,Material Shortage,0.8,0.8211,0.6569
M06,2025-01-14,Night,480,389,590,787,91,Planned Maintenance,0.8104,0.7497,0.6076
M07,2025-01-14,Day,480,411,590,787,69,Planned Maintenance,0.8562,0.7497,0.6419
M07,2025-01-14,Night,480,433,605,807,47,Material Shortage,0.9021,0.7497,0.6763
M08,2025-01-14,Day,480,447,794,958,33,Electrical Fault,0.9312,0.8288,0.7718
M08,2025-01-14,Night,480,389,712,772,91,Electrical Fault,0.8104,0.9223,0.7474
M01,2025-01-15,Day,480,412,922,941,68,Mechanical Failure,0.8583,0.9798,0.841
M01,2025-01-15,Night,480,337,669,676,143,Quality Check Hold,0.7021,0.9896,0.6948
M02,2025-01-15,Day,480,372,818,827,108,Mechanical Failure,0.775,0.9891,0.7666
M02,2025-01-15,Night,480,466,650,863,14,Electrical Fault,0.9708,0.7532,0.7312
M03,2025-01-15,Day,480,350,707,715,130,Quality Check Hold,0.7292,0.9888,0.721
M03,2025-01-15,Night,480,393,612,749,87,Planned Maintenance,0.8188,0.8171,0.669
M04,2025-01-15,Day,480,374,765,814,106,Planned Maintenance,0.7792,0.9398,0.7323
M04,2025-01-15,Night,480,429,684,912,51,Mechanical Failure,0.8938,0.75,0.6704
M05,2025-01-15,Day,480,398,663,709,82,Operator Break,0.8292,0.9351,0.7754
M05,2025-01-15,Night,480,349,700,713,131,None,0.7271,0.9818,0.7139
M06,2025-01-15,Day,480,424,672,897,56,Electrical Fault,0.8833,0.7492,0.6618
M06,2025-01-15,Night,480,408,683,911,72,None,0.85,0.7497,0.6372
M07,2025-01-15,Day,480,457,827,1103,23,Mechanical Failure,0.9521,0.7498,0.7139
M07,2025-01-15,Night,480,448,723,965,32,Mechanical Failure,0.9333,0.7492,0.6992
M08,2025-01-15,Day,480,396,873,913,84,Mechanical Failure,0.825,0.9562,0.7889
M08,2025-01-15,Night,480,466,816,1088,14,Mechanical Failure,0.9708,0.75,0.7281
M01,2025-01-16,Day,480,449,775,830,31,None,0.9354,0.9337,0.8734
M01,2025-01-16,Night,480,457,757,993,23,None,0.9521,0.7623,0.7258
M02,2025-01-16,Day,480,385,623,651,95,Material Shortage,0.8021,0.957,0.7676
M02,2025-01-16,Night,480,461,577,770,19,Changeover,0.9604,0.7494,0.7197
M03,2025-01-16,Day,480,365,885,894,115,Operator Break,0.7604,0.9899,0.7527
M03,2025-01-16,Night,480,357,550,661,123,Mechanical Failure,0.7438,0.8321,0.6189
M04,2025-01-16,Day,480,420,766,953,60,Planned Maintenance,0.875,0.8038,0.7033
M04,2025-01-16,Night,480,383,580,707,97,Mechanical Failure,0.7979,0.8204,0.6546
M05,2025-01-16,Day,480,440,703,790,40,Operator Break,0.9167,0.8899,0.8158
M05,2025-01-16,Night,480,394,757,832,86,Planned Maintenance,0.8208,0.9099,0.7468
M06,2025-01-16,Day,480,350,613,720,130,Material Shortage,0.7292,0.8514,0.6208
M06,2025-01-16,Night,480,401,570,761,79,Material Shortage,0.8354,0.749,0.6257
M07,2025-01-16,Day,480,422,744,993,58,Mechanical Failure,0.8792,0.7492,0.6587
M07,2025-01-16,Night,480,344,581,758,136,Quality Check Hold,0.7167,0.7665,0.5494
M08,2025-01-16,Day,480,451,772,890,29,Changeover,0.9396,0.8674,0.815
M08,2025-01-16,Night,480,386,810,869,94,Material Shortage,0.8042,0.9321,0.7496
M01,2025-01-17,Day,480,365,628,635,115,Changeover,0.7604,0.989,0.752
M01,2025-01-17,Night,480,456,669,852,24,Planned Maintenance,0.95,0.7852,0.7459
M02,2025-01-17,Day,480,375,845,885,105,Operator Break,0.7812,0.9548,0.7459
M02,2025-01-17,Night,480,384,554,677,96,Material Shortage,0.8,0.8183,0.6546
M03,2025-01-17,Day,480,410,597,718,70,Changeover,0.8542,0.8315,0.7103
M03,2025-01-17,Night,480,446,733,978,34,Material Shortage,0.9292,0.7495,0.6964
M04,2025-01-17,Day,480,399,615,765,81,Material Shortage,0.8312,0.8039,0.6682
M04,2025-01-17,Night,480,354,540,667,126,Material Shortage,0.7375,0.8096,0.5971
M05,2025-01-17,Day,480,461,916,1023,19,Material Shortage,0.9604,0.8954,0.8599
M05,2025-01-17,Night,480,456,793,1015,24,Electrical Fault,0.95,0.7813,0.7422
M06,2025-01-17,Day,480,400,598,798,80,Material Shortage,0.8333,0.7494,0.6245
M06,2025-01-17,Night,480,351,667,814,129,Planned Maintenance,0.7312,0.8194,0.5991
M07,2025-01-17,Day,480,456,659,879,24,Planned Maintenance,0.95,0.7497,0.7122
M07,2025-01-17,Night,480,382,527,703,98,Operator Break,0.7958,0.7496,0.5965
M08,2025-01-17,Day,480,464,831,1070,16,Material Shortage,0.9667,0.7766,0.7507
M08,2025-01-17,Night,480,445,744,992,35,Planned Maintenance,0.9271,0.75,0.6953
M01,2025-01-18,Day,480,368,834,843,112,Planned Maintenance,0.7667,0.9893,0.7585
M01,2025-01-18,Night,480,370,752,812,110,Quality Check Hold,0.7708,0.9261,0.7138
M02,2025-01-18,Day,480,337,752,760,143,Operator Break,0.7021,0.9895,0.6947
M02,2025-01-18,Night,480,445,675,900,35,Mechanical Failure,0.9271,0.75,0.6953
M03,2025-01-18,Day,480,362,724,762,118,Material Shortage,0.7542,0.9501,0.7166
M03,2025-01-18,Night,480,468,725,967,12,Material Shortage,0.975,0.7497,0.731
M04,2025-01-18,Day,480,437,677,855,43,Mechanical Failure,0.9104,0.7918,0.7209
M04,2025-01-18,Night,480,375,702,895,105,Quality Check Hold,0.7812,0.7844,0.6128
M05,2025-01-18,Day,480,370,847,856,110,Mechanical Failure,0.7708,0.9895,0.7627
M05,2025-01-18,Night,480,390,678,719,90,Mechanical Failure,0.8125,0.943,0.7662
M06,2025-01-18,Day,480,459,759,1013,21,Electrical Fault,0.9562,0.7493,0.7165
M06,2025-01-18,Night,480,377,613,802,103,Changeover,0.7854,0.7643,0.6003
M07,2025-01-18,Day,480,434,748,998,46,Material Shortage,0.9042,0.7495,0.6777
M07,2025-01-18,Night,480,437,569,759,43,Planned Maintenance,0.9104,0.7497,0.6825
M08,2025-01-18,Day,480,414,894,964,66,Material Shortage,0.8625,0.9274,0.7999
M08,2025-01-18,Night,480,427,660,808,53,Operator Break,0.8896,0.8168,0.7266
M01,2025-01-19,Day,480,459,799,905,21,None,0.9562,0.8829,0.8442
M01,2025-01-19,Night,480,349,773,781,131,Material Shortage,0.7271,0.9898,0.7197
M02,2025-01-19,Day,480,468,723,919,12,Electrical Fault,0.975,0.7867,0.767
M02,2025-01-19,Night,480,424,559,710,56,Quality Check Hold,0.8833,0.7873,0.6954
M03,2025-01-19,Day,480,403,732,812,77,Mechanical Failure,0.8396,0.9015,0.7569
M03,2025-01-19,Night,480,463,747,996,17,Mechanical Failure,0.9646,0.75,0.7234
M04,2025-01-19,Day,480,455,737,966,25,Planned Maintenance,0.9479,0.7629,0.7232
M04,2025-01-19,Night,480,340,629,752,140,None,0.7083,0.8364,0.5924
M05,2025-01-19,Day,480,400,818,827,80,Material Shortage,0.8333,0.9891,0.8242
M05,2025-01-19,Night,480,383,692,725,97,Operator Break,0.7979,0.9545,0.7616
M06,2025-01-19,Day,480,381,585,674,99,Mechanical Failure,0.7938,0.868,0.689
M06,2025-01-19,Night,480,469,654,872,11,Mechanical Failure,0.9771,0.75,0.7328
M07,2025-01-19,Day,480,421,675,900,59,Electrical Fault,0.8771,0.75,0.6578
M07,2025-01-19,Night,480,383,539,719,97,Material Shortage,0.7979,0.7497,0.5982
M08,2025-01-19,Day,480,369,717,725,111,Electrical Fault,0.7688,0.989,0.7603
M08,2025-01-19,Night,480,439,622,830,41,Planned Maintenance,0.9146,0.7494,0.6854
M01,2025-01-20,Day,480,412,803,867,68,Planned Maintenance,0.8583,0.9262,0.795
M01,2025-01-20,Night,480,354,770,778,126,Changeover,0.7375,0.9897,0.7299
M02,2025-01-20,Day,480,391,685,721,89,Mechanical Failure,0.8146,0.9501,0.774
M02,2025-01-20,Night,480,448,741,989,32,Operator Break,0.9333,0.7492,0.6992
M03,2025-01-20,Day,480,461,762,960,19,Material Shortage,0.9604,0.7938,0.7624
M03,2025-01-20,Night,480,405,705,940,75,Material Shortage,0.8438,0.75,0.6328
M04,2025-01-20,Day,480,397,635,704,83,Mechanical Failure,0.8271,0.902,0.746
M05,2025-01-20,Day,480,435,832,875,45,Mechanical Failure,0.9062,0.9509,0.8617
M05,2025-01-20,Night,480,420,707,889,60,Planned Maintenance,0.875,0.7953,0.6959
M06,2025-01-20,Day,480,458,787,1050,22,Operator Break,0.9542,0.7495,0.7152
